elzarki|434:0:145
21615|298:0:109870
affiliated|155:0:16;40:1:29;428:1:568
21617|298:0:109876
21616|298:0:109873
21611|298:0:109858
21610|298:0:109855
21613|298:0:109864
21612|298:0:109861
kids|439:0:176
svmtorch|186:0:34
009125|298:0:46545
19397|298:0:103212
19396|298:0:103209
19395|298:0:103206
golden|153:0:68;214:0:430;414:1:278
19394|298:0:103203
projection|411:0:660
d4h10|146:0:10;101:1:10;424:1:10
image277|139:1:436
19393|298:0:103200
image274|139:1:2492
22741|298:0:113249
007215|298:0:102008
isbetween|126:1:3384
image275|139:1:1012
19391|298:0:103194
stern|367:0:1014
image272|139:1:2148
19390|298:0:103191
20154|298:0:105484
bubbles|141:1:2783
dna|354:0:175;378:0:177;455:0:30;69:0:303;297:1:165
image270|139:1:1884
e1|315:1:1301
rating|318:0:35;422:0:1405
inevitable|263:0:595;409:1:4012
06592|298:0:74596
music|150:0:495;253:0:532;367:0:408;462:0:1295;315:1:2190;327:1:54;362:1:853;375:1:274;387:1:645;472:1:19
therefore|10:0:129;152:0:167;153:0:839;176:0:224;278:0:16016;357:0:61;411:0:126;462:0:943;60:0:530;126:1:2472;156:1:568;190:1:1867;272:1:10734;325:1:149;409:1:4736;411:1:460;463:1:820;93:1:565
dns|422:0:1657;298:1:224
formalcharge|19:0:40
populations|423:0:190;409:1:3092
yahoo|422:0:598;479:0:168;173:1:66;477:1:130;76:1:158;90:1:91
06599|298:0:50614
circumstances|131:0:148;278:0:11908;104:1:890;136:1:383;253:1:2723;350:1:149;409:1:5062;468:1:1057
equilateral|153:0:74;178:1:484
locked|147:0:874;278:0:13487;482:0:412;81:0:125;272:1:12114
13058|298:0:84192
13059|298:0:84195
13052|298:0:84174;200:1:1441;377:1:668;424:1:538
13053|298:0:84177
13050|298:0:84168
13051|298:0:84171
13056|298:0:84186
13057|298:0:84189
13054|298:0:84180
13055|298:0:84183
wang|183:0:69;379:0:108;219:1:1487;22:1:19;298:1:563;428:1:541
addinheritancemessage|255:1:513
image171|139:1:715
image170|139:1:1980
image173|139:1:1363
image172|139:1:2532
image175|139:1:1129
image174|139:1:2396
want|100:0:517;109:0:251;116:0:249;126:0:251;136:0:517;147:0:1444;152:0:186;154:0:529;167:0:251;172:0:251;176:0:189;178:0:251;188:0:249;2:0:249;201:0:251;203:0:251;223:0:251;24:0:93;245:0:249;248:0:251;249:0:249;254:0:224;258:0:214;261:0:251;263:0:1108;266:0:301;276:0:251;3:0:517;300:0:204;311:0:251;322:0:251;325:0:251;330:0:251;355:0:111;356:0:251;360:0:251;361:0:251;380:0:2264;389:0:251;393:0:251;396:0:251;409:0:251;417:0:251;422:0:158;427:0:249;43:0:49;435:0:101;44:0:517;445:0:251;446:0:527;462:0:243;465:0:147;469:0:251;471:0:517;472:0:251;476:0:251;477:0:251;478:0:251;482:0:469;496:0:251;497:0:114;80:0:251;81:0:120;84:0:251;93:0:242;10:1:251;103:1:139;107:1:249;119:1:251;126:1:3088;134:1:491;135:1:43;150:1:251;156:1:1710;160:1:251;166:1:251;180:1:251;181:1:517;190:1:452;198:1:251;200:1:1199;204:1:369;210:1:251;224:1:249;230:1:79;231:1:387;24:1:251;263:1:517;265:1:251;268:1:251;272:1:12129;300:1:517;303:1:356;310:1:251;311:1:251;313:1:244;314:1:251;315:1:1209;324:1:251;326:1:251;343:1:987;352:1:251;356:1:166;380:1:249;403:1:120;406:1:251;409:1:1951;416:1:1199;428:1:233;43:1:249;432:1:251;433:1:36;44:1:251;446:1:251;449:1:251;46:1:251;467:1:251;468:1:876;474:1:251;486:1:251;488:1:251;499:1:251;54:1:249;6:1:251;68:1:251;71:1:251;82:1:2565;93:1:1707;95:1:249;10:2:251;3:2:251;5:2:251
image176|139:1:1900
image179|139:1:706
002063|298:0:97907
absolute|292:0:555;272:1:11069;315:1:2784;34:1:189;343:1:470;409:1:5752
20258|298:0:105796
20259|298:0:105799
tissec|219:1:2744
20252|298:0:105778
20253|298:0:105781
20250|298:0:105772
20251|298:0:105775
20256|298:0:105790
20257|298:0:105793
20254|298:0:105784
20255|298:0:105787
misranked|285:1:0;30:1:0
1177|298:0:110046;413:1:314
1176|298:0:68463;413:1:291
1175|298:0:114301
1174|298:0:40201
1173|298:0:117247
1172|298:0:118930
1171|298:0:101753;413:1:153
23508|298:0:115550
23507|298:0:115547
23506|298:0:115544
23505|298:0:115541
23504|298:0:115538
23503|298:0:115535
23502|298:0:115532
1179|298:0:98762
1178|298:0:98714
wrong|131:0:576;150:0:701;258:0:1331;380:0:1963;493:0:114;156:1:1213;190:1:1720;253:1:3368;270:1:76;315:1:1600;93:1:1210
2964|298:0:103238
seda|219:1:209
18s|59:1:246
amaya|380:0:2414
exitpark|82:1:191
18th|323:0:114;141:1:2074;364:1:752
menlo|280:1:651
setnodetextfont|403:0:301
621|298:0:110244
60th|364:1:813
12833|298:0:83517
12832|298:0:83514
12831|298:0:83511
12830|298:0:83508
8549|298:0:106423
8548|298:0:105819
12835|298:0:83523
12834|298:0:83520
8545|298:0:70651
8544|298:0:81548
8547|298:0:112246
12838|298:0:83532
8541|298:0:80630
8540|298:0:70636
8543|298:0:70645
welcomes|109:0:303;116:0:301;126:0:303;167:0:303;172:0:303;178:0:303;188:0:301;2:0:301;201:0:303;203:0:303;223:0:303;245:0:301;248:0:303;249:0:301;261:0:303;276:0:303;311:0:303;322:0:303;325:0:303;330:0:303;356:0:303;360:0:303;361:0:303;389:0:303;393:0:303;396:0:303;409:0:303;417:0:303;427:0:301;445:0:303;469:0:303;472:0:303;476:0:303;477:0:303;478:0:303;496:0:303;80:0:303;84:0:303;10:1:303;107:1:301;119:1:303;150:1:303;160:1:303;166:1:303;180:1:303;198:1:303;210:1:303;224:1:301;24:1:303;265:1:303;268:1:303;310:1:303;311:1:303;314:1:303;324:1:303;326:1:303;352:1:303;380:1:301;406:1:303;43:1:301;432:1:303;44:1:303;446:1:303;449:1:303;46:1:303;467:1:303;474:1:303;486:1:303;488:1:303;499:1:303;54:1:301;6:1:303;68:1:303;71:1:303;95:1:301;10:2:303;3:2:303;5:2:303
fis|280:1:549
fit|171:0:168;176:0:878;307:0:426;33:0:168;338:0:168;408:0:168;422:0:496;479:0:79;483:0:168;148:1:168;204:1:218;208:1:168;236:1:23;272:1:11774;409:1:2505;86:1:168
bringing|446:0:496;409:1:5040;4:2:67
fix|150:0:600;258:0:152;126:1:713;156:1:1259;190:1:805;93:1:1256
malley|381:0:127
fig|110:1:227;316:1:540
zag|436:1:155
wales|81:1:26
23127|298:0:114407
628|298:0:97865;490:1:91
23519|298:0:115583
effects|120:0:545;147:0:529;154:0:90;278:0:7786;301:0:446;462:0:1247;156:1:1318;272:1:11064;409:1:6053;93:1:1315
06108|298:0:3892
22679|298:0:113063
22676|298:0:113054
06107|298:0:28946
22674|298:0:113048
22675|298:0:113051
22672|298:0:113042
22673|298:0:113045
22670|298:0:113036
22671|298:0:113039
8291|298:0:69889
8290|298:0:69886
8293|298:0:69895;215:1:301
8292|298:0:69892
timeout|147:0:832;278:0:12696;434:0:327;98:0:1303;272:1:12371
8295|298:0:118810
548396082644|101:1:549
8294|298:0:80582
telescope|108:0:151;112:0:151;12:0:151;124:0:151;15:0:151;151:0:151;180:0:151;193:0:151;209:0:151;226:0:151;23:0:151;235:0:151;240:0:151;30:0:151;302:0:151;306:0:151;336:0:151;347:0:151;354:0:151;376:0:151;378:0:151;405:0:151;421:0:151;447:0:151;463:0:151;486:0:151;499:0:151;51:0:151;77:0:151;105:1:151;118:1:151;146:1:151;168:1:151;189:1:151;197:1:151;207:1:151;213:1:151;233:1:151;246:1:151;247:1:151;254:1:151;266:1:151;277:1:151;284:1:151;3:1:151;302:1:151;33:1:151;335:1:151;339:1:151;349:1:151;370:1:151;383:1:151;423:1:151;426:1:151;447:1:151;448:1:151;476:1:151;489:1:151;64:1:151;67:1:151;70:1:151;91:1:151;0:2:151
8296|298:0:82823
393|166:0:229;298:0:115159
392|298:0:96712;347:1:95
391|286:0:923;298:0:108579;219:1:3661
390|248:1:41
397|298:0:103896;5:0:66;409:1:7272
396|166:0:137;298:0:95697
395|166:0:252;298:0:108558
394|298:0:118504
tifs14|219:1:309
399|298:0:112675
398|12:0:165;166:0:321;298:0:119521;155:1:74;383:1:165
15bo|170:0:91
timeslice|464:1:552
oeelemno|56:0:45
r234|43:0:4
angular|141:1:2064
combinatorial|304:0:21;411:0:871;43:0:28;141:1:443;15:1:39;220:1:24;297:1:12;364:1:592
encourage|131:0:441;132:0:449;263:0:330;301:0:362;367:0:711;370:0:84;446:0:300;104:1:1142;149:1:180;325:1:174;79:1:83;17:2:71
adapt|64:0:23;409:1:1270
3748|298:0:115453
3749|298:0:56783
39k|122:0:187;431:0:62;139:1:2347;238:1:201
3747|298:0:40084
3744|298:0:91052
3745|298:0:102830
3742|298:0:104712
3743|298:0:99665;377:1:40
3741|298:0:39046
estimate|134:1:269;299:1:23;313:1:146;82:1:1758
universally|278:0:16003;219:1:1648;409:1:3111
410303289295|222:0:245
shivajit|338:1:325
removeinternalmessage|255:1:543
92bo5bo7bo7bo|157:1:216
knight|280:1:531;315:1:3533;416:1:214
service|100:0:98;108:0:29;112:0:29;12:0:29;120:0:333;124:0:29;136:0:98;15:0:29;151:0:29;180:0:29;193:0:29;209:0:29;226:0:29;23:0:29;235:0:29;240:0:29;253:0:366;278:0:15099;3:0:98;30:0:29;302:0:29;306:0:29;336:0:29;347:0:29;354:0:29;363:0:274;376:0:29;378:0:29;380:0:1923;405:0:29;421:0:29;422:0:739;44:0:98;447:0:29;463:0:29;471:0:98;486:0:29;499:0:29;51:0:29;77:0:29;95:0:1081;105:1:29;118:1:29;146:1:29;168:1:29;181:1:98;189:1:29;197:1:29;204:1:492;207:1:29;213:1:29;219:1:2128;233:1:29;246:1:29;247:1:29;254:1:29;263:1:98;266:1:29;272:1:12657;277:1:29;280:1:764;284:1:29;298:1:642;3:1:29;300:1:98;302:1:29;33:1:29;335:1:29;338:1:68;339:1:29;34:1:489;349:1:29;370:1:29;383:1:29;409:1:7459;422:1:476;423:1:29;426:1:29;428:1:720;429:1:159;447:1:29;448:1:29;476:1:29;489:1:29;64:1:29;67:1:29;70:1:29;91:1:29;0:2:29
21930|298:0:110816
needed|147:0:1416;154:0:962;190:0:83;200:0:94;24:0:133;278:0:15930;286:0:367;287:0:154;335:0:300;365:0:1169;367:0:626;380:0:2194;411:0:1054;422:0:1221;461:0:234;470:0:116;491:0:37;114:1:1065;126:1:2594;141:1:3574;156:1:418;200:1:1120;231:1:344;253:1:1911;270:1:73;272:1:11623;343:1:148;387:1:428;409:1:3538;416:1:1379;422:1:445;463:1:1199;484:1:160;491:1:880;8:1:145;82:1:2256;93:1:415
21932|298:0:110822
21933|298:0:110825
master|100:0:103;136:0:103;284:0:35;3:0:103;370:0:258;44:0:103;446:0:637;471:0:103;48:0:95;490:0:39;181:1:103;263:1:103;300:1:103;445:1:26
21935|298:0:110831
21936|298:0:110834
21937|298:0:110837
21938|298:0:110840
21939|298:0:110843
2332849|394:0:301
2332848|394:0:292
drawpath|79:0:121
othercontainer|278:0:8276
09224|298:0:68154
04613|298:0:109920
09222|298:0:25839
09223|298:0:95103
09221|298:0:36664
10510|298:0:76548
00501|45:1:51
270|447:0:165
ahmed|379:0:353;408:1:67
19972|298:0:104938
19971|298:0:104935
idle|464:1:596
19970|298:0:104932
16709|298:0:95146
feeling|154:0:821;149:1:280
19976|298:0:104950
6819|298:0:65473
6818|298:0:100700
19975|298:0:104947
baldi|219:1:988;76:1:84
6811|298:0:119959
6810|298:0:65446
6813|298:0:74169
6812|298:0:80360
6815|298:0:111781
6814|298:0:90614
6817|298:0:117070
6816|298:0:65464
9757|298:0:99737
9756|298:0:74284
9755|298:0:114553
9754|298:0:74278
9753|298:0:74275
9752|298:0:74272
9751|298:0:74269
16704|298:0:95131
19979|298:0:104959
9759|290:0:122;298:0:118837
9758|298:0:92126
foundational|242:0:81;375:1:401;409:1:4638
affairs|120:0:114;171:0:173;253:0:8;33:0:173;338:0:173;402:0:550;408:0:173;483:0:173;136:1:509;148:1:173;155:1:323;208:1:173;375:1:704;409:1:5723;431:1:316;86:1:173
24144|298:0:117458
24145|298:0:117461
24142|298:0:117452
24143|298:0:117455
24140|298:0:117446
24141|298:0:117449
24148|298:0:117470
24149|298:0:117473
ptrdiff|470:0:70
3873|146:0:731;298:0:116788
816497|296:1:70
limitless|409:1:5717
metrics|108:0:197;112:0:210;12:0:203;124:0:214;15:0:200;151:0:198;180:0:212;193:0:206;209:0:203;226:0:210;23:0:209;235:0:206;240:0:215;30:0:201;302:0:201;306:0:197;336:0:200;347:0:197;354:0:206;376:0:195;378:0:209;381:0:264;405:0:203;421:0:207;447:0:208;463:0:198;474:0:135;486:0:206;499:0:215;51:0:198;69:0:994;77:0:207;105:1:197;118:1:196;146:1:197;168:1:197;189:1:197;197:1:197;207:1:202;213:1:207;233:1:209;246:1:207;247:1:206;254:1:212;266:1:207;277:1:200;284:1:203;298:1:282;3:1:200;302:1:209;33:1:200;335:1:206;339:1:206;349:1:212;370:1:197;383:1:203;423:1:195;426:1:198;447:1:206;448:1:198;469:1:33;476:1:205;489:1:207;64:1:204;67:1:204;70:1:204;91:1:207;0:2:204
simplify|258:0:515;126:1:2081;190:1:1115;253:1:3529;343:1:939;396:1:274;463:1:1326
03348|298:0:12405
visualizations|462:0:264
03342|298:0:21272
lineborder|74:1:171
bradford|409:1:6864
11844|298:0:80550
11843|298:0:80547
22482|298:0:112472
5602|298:0:85940
vertices|153:0:986;262:0:56;335:0:325;358:0:175;359:0:76;411:0:2878;438:0:281;480:0:33;69:0:1086;141:1:3565;178:1:609;220:1:73;296:1:42;428:1:238;433:1:31;444:1:55;484:1:231;8:1:458;8:2:286
tech|100:0:956;136:0:956;214:0:150;280:0:552;3:0:956;367:0:987;44:0:956;471:0:956;141:1:1269;181:1:956;204:1:457;263:1:1104;300:1:956;315:1:641;338:1:279;353:1:244;364:1:738;79:1:57;8:1:399;18:2:38;21:2:264;4:2:52
prevention|98:0:502
islist|255:1:453
769804|315:1:3017
hastings|21:1:92
saying|153:0:418;380:0:1945;190:1:2201;200:1:1393;409:1:5174
fenner|60:0:589
12010|298:0:81048
tempted|131:0:510;104:1:1209
hypercube|484:1:7
07992|298:0:76778
orleans|141:1:524
clicked|208:0:92;253:1:2924;367:1:90
23471|298:0:115439
07999|298:0:62441
abde|8:2:290
kinase|297:0:477
rick|263:0:1366;280:0:385
rich|278:0:2209;297:0:533;380:0:1970;86:0:42;222:1:161;260:1:8
o2b3o2bo|170:0:32
rice|69:0:377;315:1:3609
iata|422:0:1239
ceil|82:1:2608
279660997902|146:0:133
altogether|278:0:6413;272:1:6230
nicely|156:1:606;236:1:307;316:1:221;387:1:516;93:1:603
uclub|422:1:523
patch|129:0:130;154:0:984;179:0:61;462:0:842;272:1:11472
setstringvalue|362:0:62
aviel|315:1:723
programmatic|152:0:12
helicoid|214:0:188
sensitivity|278:1:224;491:1:2028
widget|37:1:68
23266|298:0:114824
23267|298:0:114827
02122|298:0:92219
23265|298:0:114821
23262|298:0:114812
23263|298:0:114815
23260|298:0:114806
330128|124:0:316;180:0:314;209:0:305;226:0:312;23:0:311;302:0:303;347:0:299;463:0:300;499:0:317;51:0:300;146:1:299;233:1:311;254:1:314;370:1:299;448:1:300;489:1:309;91:1:309
02128|298:0:119548
dspage|462:0:1283
07338|298:0:32508
clarifies|292:0:264
04979|298:0:62321
lots|55:0:2386;126:1:1949;253:1:340;272:1:3037;403:1:49;422:1:478
21b3o3bo5b3o4bobobbobo4boobobbobbobb3o3b|157:1:57
04973|298:0:17658
cse23|32:0:190
10703|298:0:77127
9257|298:0:72787
10701|298:0:77121
discipline|375:1:405;409:1:3994
jacm|361:1:30
9255|298:0:72781
extend|254:0:234;278:0:10538;286:0:613;350:0:167;462:0:1074;474:0:406;482:0:270;55:0:1891;141:1:2619;15:1:27;21:1:68;272:1:4312;303:1:106;409:1:3382;468:1:1021
nature|278:0:12707;272:1:10061;396:1:401;409:1:7319;491:1:2375;97:1:149
10707|298:0:77139
dahlbom|409:1:6794
10706|298:0:77136
10705|298:0:77133
extent|13:0:39;278:0:14502;365:0:1276;104:1:1379;404:1:78;482:1:42
10704|298:0:77130
tyranny|315:1:2067
6778|298:0:118294
6779|298:0:65353
6774|298:0:73863
6775|298:0:101846
6776|298:0:87671
6777|298:0:82439
6770|298:0:65326
6771|298:0:117499;141:1:3815
6772|298:0:90047
6773|222:0:303;298:0:89444
subp|162:1:275
china|379:0:265;67:0:80;315:1:2433;90:1:228
jack|480:0:22
bouncingballs|253:1:3490
24884|298:0:119678
21614|298:0:109867
triviality|365:0:1379
union|117:0:375;234:0:313;367:0:1010;219:1:797;484:1:164;81:1:539
fri|46:0:20;474:0:657;66:0:441;151:1:23;272:1:6083;325:1:220;353:1:250;356:1:22
23757|298:0:116297
much|131:0:397;139:0:93;154:0:811;176:0:691;208:0:67;258:0:634;263:0:1081;278:0:9568;286:0:493;292:0:338;297:0:276;300:0:165;307:0:82;320:0:106;358:0:79;367:0:811;370:0:101;380:0:2380;422:0:1215;465:0:108;482:0:460;55:0:1169;69:0:1129;104:1:1676;114:1:1426;126:1:2480;141:1:3207;151:1:67;156:1:918;162:1:303;178:1:1048;190:1:1137;200:1:478;231:1:151;239:1:11;253:1:3531;272:1:9825;287:1:88;301:1:66;313:1:340;316:1:228;343:1:991;345:1:119;353:1:11;362:1:521;409:1:4791;412:1:310;416:1:100;468:1:1129;482:1:40;81:1:109;93:1:915;21:2:11;8:2:348
deliberately|286:0:410;200:1:64;409:1:2571
correction|150:0:1069;154:0:831;176:0:151;210:0:37;319:0:643;462:0:295
image189|139:1:2812
image184|139:1:2556
dave|253:0:539;278:0:15941;280:0:390;320:0:315;315:1:3846;395:1:253;414:1:306
xiangxin|67:0:6
image185|139:1:1102
spin|366:1:6
image186|139:1:3468
kaafar|219:1:436
definitiontag|193:1:16
image187|139:1:2844
participatory|26:0:235;155:1:229
givargis|143:0:156
ny2011|109:1:15
image180|139:1:2020
image181|139:1:1084
employ|147:0:925;273:0:44;11:1:164;114:1:1242;409:1:969
advancedmath|126:1:1795
image182|139:1:2404
image183|139:1:1156
22299|298:0:111923
05202|298:0:41549
05206|298:0:113257
22294|298:0:111908
eighteen|401:0:42
5058|298:0:118075
5059|298:0:109140
5054|298:0:106354
5055|298:0:69198
5056|298:0:60183;155:1:26;407:1:216;431:1:365
5057|298:0:72546
5050|298:0:60165
5051|298:0:109119
5052|298:0:77153;431:1:575
5053|298:0:107727
memorial|284:0:743
recover|380:0:1477
hsien|185:1:65
06561|298:0:50283
split|422:0:957;446:0:573;69:0:943;156:1:1676;231:1:411;25:1:601;253:1:577;270:1:553;323:1:928;343:1:801;8:1:377;93:1:1673
principals|278:0:14071;114:1:1320;272:1:12126;283:1:0
crush|81:1:613
1670|30:1:308
18893|298:0:101700
18892|298:0:101697
18891|298:0:101694
18890|298:0:101691
18897|298:0:101712
18896|298:0:101709
18895|298:0:101706
18894|298:0:101703
849265|285:1:526
18899|298:0:101718
18898|298:0:101715
qualifications|315:1:92
workforce|263:0:1460
rex|55:1:123
teachingresources|57:0:20
mentors|367:0:660;445:1:164
02465|298:0:45885
academic|100:0:534;104:0:68;105:0:68;107:0:11;109:0:392;11:0:77;114:0:195;116:0:390;118:0:68;120:0:478;123:0:68;126:0:392;128:0:68;130:0:68;131:0:518;135:0:181;136:0:534;141:0:75;142:0:77;143:0:76;144:0:68;161:0:75;163:0:68;165:0:75;167:0:392;171:0:169;172:0:392;178:0:392;18:0:75;181:0:195;188:0:390;192:0:68;195:0:151;196:0:68;2:0:390;201:0:392;203:0:392;21:0:75;217:0:68;218:0:68;223:0:392;224:0:75;225:0:75;228:0:75;231:0:75;236:0:68;239:0:68;241:0:449;242:0:371;245:0:390;246:0:68;248:0:392;249:0:390;251:0:77;256:0:68;26:0:75;261:0:392;265:0:252;27:0:68;274:0:75;276:0:392;279:0:181;28:0:216;280:0:76;281:0:149;282:0:68;283:0:68;288:0:68;291:0:68;294:0:68;299:0:68;3:0:534;305:0:77;308:0:221;311:0:392;312:0:155;313:0:68;314:0:68;315:0:163;322:0:392;325:0:392;328:0:68;33:0:169;330:0:392;331:0:68;338:0:169;34:0:68;344:0:75;346:0:68;356:0:392;360:0:392;361:0:392;364:0:68;367:0:80;369:0:75;370:0:247;373:0:68;387:0:68;388:0:68;389:0:392;393:0:392;395:0:68;396:0:392;402:0:587;404:0:68;408:0:169;409:0:392;414:0:68;417:0:392;423:0:76;427:0:390;429:0:75;44:0:534;441:0:68;445:0:392;446:0:829;449:0:68;454:0:68;456:0:68;459:0:68;469:0:392;471:0:534;472:0:392;476:0:392;477:0:392;478:0:392;481:0:68;482:0:316;483:0:169;484:0:68;487:0:221;488:0:75;496:0:392;498:0:68;53:0:151;54:0:75;59:0:68;6:0:75;61:0:68;65:0:68;66:0:37;7:0:195;70:0:183;72:0:75;78:0:151;80:0:392;84:0:392;93:0:344;95:0:468;99:0:75;10:1:392;100:1:68;102:1:68;104:1:1217;107:1:390;111:1:68;119:1:392;120:1:75;123:1:151;125:1:68;129:1:68;136:1:533;140:1:169;143:1:75;148:1:169;149:1:513;150:1:392;152:1:75;153:1:68;154:1:68;155:1:286;158:1:77;159:1:155;16:1:181;160:1:392;163:1:68;164:1:68;166:1:392;167:1:151;173:1:102;177:1:68;18:1:68;180:1:392;181:1:534;188:1:75;192:1:68;194:1:75;198:1:392;199:1:68;200:1:236;204:1:76;208:1:169;209:1:75;210:1:392;211:1:257;224:1:390;227:1:229;229:1:68;231:1:174;234:1:68;237:1:68;239:1:90;24:1:392;240:1:68;252:1:181;257:1:75;258:1:68;259:1:75;26:1:68;263:1:534;265:1:392;267:1:68;268:1:392;269:1:68;279:1:68;28:1:200;281:1:68;282:1:68;286:1:177;29:1:68;290:1:75;293:1:68;295:1:68;300:1:534;304:1:68;308:1:49;31:1:68;310:1:392;311:1:392;314:1:392;318:1:169;320:1:164;322:1:75;324:1:392;326:1:392;327:1:37;334:1:258;337:1:68;338:1:311;34:1:397;346:1:181;348:1:68;352:1:392;353:1:90;36:1:68;363:1:68;369:1:68;375:1:732;379:1:155;380:1:390;386:1:75;39:1:155;392:1:195;394:1:75;396:1:75;397:1:68;406:1:392;407:1:163;409:1:2941;410:1:68;419:1:202;42:1:75;425:1:75;43:1:390;431:1:263;432:1:392;435:1:68;437:1:68;44:1:392;441:1:76;442:1:68;443:1:195;446:1:392;449:1:392;46:1:392;461:1:68;466:1:201;467:1:392;47:1:216;473:1:151;474:1:392;478:1:195;485:1:68;486:1:392;488:1:392;499:1:392;52:1:201;53:1:181;54:1:390;56:1:155;6:1:392;65:1:77;66:1:177;68:1:392;69:1:68;71:1:392;76:1:172;80:1:223;85:1:68;86:1:169;87:1:68;9:1:68;95:1:390;10:2:392;13:2:75;15:2:68;16:2:75;21:2:90;3:2:392;5:2:392;6:2:68;7:2:195
02467|298:0:55640
academia|131:0:21;409:1:1507;90:1:70
02463|298:0:108918
